Estado,Causa,Genero,year,Casos
Chihuahua,Disparo de arma de fuego,Mujeres,2020,7
Chihuahua,Disparo de arma de fuego,No especificado,2020,1
Chihuahua,Envenenamiento,Hombres,2015,13
Chihuahua,Envenenamiento,Mujeres,2015,11
Chihuahua,Envenenamiento,No especificado,2015,0
Chihuahua,Envenenamiento,Hombres,2016,11
Chihuahua,Envenenamiento,Mujeres,2016,11
Chihuahua,Envenenamiento,No especificado,2016,0
Chihuahua,Envenenamiento,Hombres,2017,16
Chihuahua,Envenenamiento,Mujeres,2017,14
Chihuahua,Envenenamiento,No especificado,2017,0
Chihuahua,Envenenamiento,Hombres,2018,14
Chihuahua,Envenenamiento,Mujeres,2018,6
Chihuahua,Envenenamiento,No especificado,2018,0
Chihuahua,Envenenamiento,Hombres,2019,11
Chihuahua,Envenenamiento,Mujeres,2019,17
Chihuahua,Envenenamiento,No especificado,2019,0
Chihuahua,Envenenamiento,Hombres,2020,13
Chihuahua,Envenenamiento,Mujeres,2020,14
Chihuahua,Envenenamiento,No especificado,2020,0
Chihuahua,Otras causas,Hombres,2015,38
Chihuahua,Otras causas,Mujeres,2015,14
Chihuahua,Otras causas,No especificado,2015,0
Chihuahua,Otras causas,Hombres,2016,23
Chihuahua,Otras causas,Mujeres,2016,8
Chihuahua,Otras causas,No especificado,2016,0
Chihuahua,Otras causas,Hombres,2017,37
Chihuahua,Otras causas,Mujeres,2017,13
Chihuahua,Otras causas,No especificado,2017,0
Chihuahua,Otras causas,Hombres,2018,7
Chihuahua,Otras causas,Mujeres,2018,6
Chihuahua,Otras causas,No especificado,2018,0
Chihuahua,Otras causas,Hombres,2019,9
Chihuahua,Otras causas,Mujeres,2019,4
Chihuahua,Otras causas,No especificado,2019,0
Chihuahua,Otras causas,Hombres,2020,22
Chihuahua,Otras causas,Mujeres,2020,4
Chihuahua,Otras causas,No especificado,2020,2
Ciudad de México,Ahorcamiento estrangulamiento o sofocación ,Hombres,2015,241
Ciudad de México,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2015,69
Ciudad de México,Ahorcamiento estrangulamiento o sofocación ,No especificado,2015,0
Ciudad de México,Ahorcamiento estrangulamiento o sofocación ,Hombres,2016,243
Ciudad de México,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2016,66
Ciudad de México,Ahorcamiento estrangulamiento o sofocación ,No especificado,2016,0
Ciudad de México,Ahorcamiento estrangulamiento o sofocación ,Hombres,2017,196
Ciudad de México,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2017,53
